"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"43640" "00622" "BOQUERON" "Puerto Rico" "PR" NA "17.99" "-67.15"
"43641" "00623" "CABO ROJO" "Puerto Rico" "PR" NA "18.08" "-67.14"
"43642" "00624" "PENUELAS" "Puerto Rico" "PR" NA "18.06" "-66.72"
"43643" "00627" "CAMUY" "Puerto Rico" "PR" NA "18.48" "-66.84"
"43644" "00631" "CASTANER" "Puerto Rico" "PR" NA "18.19" "-66.82"
"43645" "00636" "ROSARIO" "Puerto Rico" "PR" NA "18.15" "-67.06"
"43646" "00637" "SABANA GRANDE" "Puerto Rico" "PR" NA "18.08" "-66.96"
"43647" "00638" "CIALES" "Puerto Rico" "PR" NA "18.33" "-66.47"
"43648" "00641" "UTUADO" "Puerto Rico" "PR" NA "18.27" "-66.70"
"43649" "00646" "DORADO" "Puerto Rico" "PR" NA "18.47" "-66.27"
"43650" "00647" "ENSENADA" "Puerto Rico" "PR" NA "17.96" "-66.94"
"43651" "00650" "FLORIDA" "Puerto Rico" "PR" NA "18.36" "-66.56"
"43652" "00652" "GARROCHALES" "Puerto Rico" "PR" NA "18.45" "-66.60"
"43653" "00653" "GUANICA" "Puerto Rico" "PR" NA "17.97" "-66.93"
"43654" "00656" "GUAYANILLA" "Puerto Rico" "PR" NA "18.02" "-66.79"
"43655" "00659" "HATILLO" "Puerto Rico" "PR" NA "18.48" "-66.82"
"43656" "00660" "HORMIGUEROS" "Puerto Rico" "PR" NA "18.14" "-67.12"
"43657" "00662" "ISABELA" "Puerto Rico" "PR" NA "18.50" "-67.02"
"43658" "00664" "JAYUYA" "Puerto Rico" "PR" NA "18.22" "-66.59"
"43659" "00667" "LAJAS" "Puerto Rico" "PR" NA "18.04" "-67.06"
"43660" "00669" "LARES" "Puerto Rico" "PR" NA "18.29" "-66.88"
"43661" "00670" "LAS MARIAS" "Puerto Rico" "PR" NA "18.27" "-67.06"
"43662" "00674" "MANATI" "Puerto Rico" "PR" NA "18.43" "-66.48"
"43663" "00676" "MOCA" "Puerto Rico" "PR" NA "18.39" "-67.11"
"43664" "00677" "RINCON" "Puerto Rico" "PR" NA "18.34" "-67.25"
"43665" "00678" "QUEBRADILLAS" "Puerto Rico" "PR" NA "18.47" "-66.93"
"43666" "00680" "MAYAGUEZ" "Puerto Rico" "PR" NA "18.20" "-67.14"
"43667" "00681" "MAYAGUEZ" "Puerto Rico" "PR" NA "18.20" "-67.14"
"43668" "00682" "MAYAGUEZ" "Puerto Rico" "PR" NA "18.20" "-67.14"
"43669" "00683" "SAN GERMAN" "Puerto Rico" "PR" NA "18.08" "-67.04"
